Name,Unit price
20ft Custom Pop-Up Shipping Container (#5243),"$24,500.00"
40ft Container lockeroom Dual Gender,"$84,500.00"
"""The Alpine"" Model","$58,643.00"
20 ft Container Bar - Premium,"$75,000.00"
Kitchen Vent Hood,"$1,275.00"
40 ft Standard Container Kitchen,"$99,237.00"
Double Wide Office,"$128,929.00"
40 ft Container Bathroom with Storage (#3967),"$97,000.00"
CAD - Drawings,"$1,500.00"
Design Consultation Call,"$1,500.00"
Container Bar Lite,"$24,500.00"
Off-grid Solar 40 ft Container,"$32,394.00"
Off-grid Solar 20 ft Container,"$20,793.00"
20'  Used working Reefer Container ,"$7,623.00"
ADA Ramp,$681.00
40 ft New Container w/ Double Doors,"$6,807.00"
Twistlock Foundation Plate,$450.00
53 Ft New HC Container,"$25,000.00"
20' High Cube Container w/ Double Doors,"$3,975.00"
Faux Dolly Wheels,"$1,150.00"
20 ft Dual Split Container Office ,"$30,880.00"
"""The Hawthorne"" Model (#4777)","$272,898.00"
Framing | 20' | Metal ,"$5,250.00"
Floor Heating System - 40 ft,"$8,400.00"
Glass Shower Door - 5 ft,"$5,400.00"
Glass Shower Door - 3 ft ,"$3,610.00"
"""The Burnet"" Model ","$118,148.00"
Metal Storm Door,"$2,750.00"
Metal Door - 36 in x 84 in,"$3,250.00"
Wood Full Glass Garage Door,"$22,387.00"
Weldless Container Joining System,"$4,500.00"
Waterproof Sealant,$196.00
Restroom Urinal - Manual Flush,"$1,150.00"
Vinyl Decal,"$2,150.00"
"Ventilation- Wind Turbine 12""","$1,050.00"
Ventilation - Solar Vent,$464.00
Ventilation- Louvered Vent,$149.00
Upgrade - Interior Shiplap 40 - White,"$5,811.00"
Upgrade - Interior Shiplap 40 - Rustic Rough Cut,"$6,166.00"
Upgrade - Interior Shiplap 40 - Grey,"$8,105.00"
Upgrade - Interior Shiplap 20 - White,"$2,844.00"
Upgrade - Interior Shiplap 20 - Rustic Rough Cut,"$3,381.00"
Upgrade - Interior Shiplap 20 - Grey,"$4,648.00"
UV Reflective Roof Paint,"$1,307.00"
53 ft Used HC Container,"$6,807.00"
TX Onsite Work,"$19,900.00"
Tub w/ Tile Surround Upgrade,"$3,902.00"
Tub Shower,"$1,960.00"
Trailer Setting and Part Handling,"$1,125.00"
Toilet Residential,$975.00
Toilet Commercial - Wall Mounted,"$1,250.00"
Through-the-Wall Ventilation Fan & Switch,"$1,350.00"
Tankless Water Heater,$850.00
Tankless *Gas* Water Heater. Outdoor,"$1,950.00"
Tankless *Gas* Water Heater. Indoor,"$1,650.00"
Sublfloor 20ft container,"$1,950.00"
Subfloor 53ft container,"$2,650.00"
Subfloor 40ft container,"$2,450.00"
Underside Steel cladding 40',"$1,250.00"
Standard Shower 36' x 36',"$1,373.00"
Standard ice maker connection,$565.00
Stand-alone Range connection,$500.00
Spray Foam 1 in (R6.5) - 40' Container,"$2,666.00"
Spray Foam 1 in (R6.5) - 20' Container,"$1,580.00"
Shelving  - 20' ,"$3,172.00"
Refrigerator water hookups,$644.00
Premium Interior Ceiling Fan,$762.00
